REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,ALLSKY_SFC_SW_DWN,T2M,T2MDEW,T2MWET,RH2M,PS,WS2M
NSW1,2024-06-01 01:00:00,7524.52,165.12,0.0,7.18,5.16,6.17,86.84,97.85,1.23
NSW1,2024-06-01 02:00:00,7009.12,105.0,0.0,6.71,5.08,5.9,89.21,97.85,1.31
NSW1,2024-06-01 03:00:00,6719.49,85.97,0.0,6.33,5.15,5.74,92.06,97.84,1.42
NSW1,2024-06-01 04:00:00,6637.37,66.11,0.0,6.04,5.34,5.69,95.1,97.84,1.47
NSW1,2024-06-01 05:00:00,6795.7,85.97,0.0,5.74,5.51,5.62,98.29,97.85,1.48
NSW1,2024-06-01 06:00:00,6923.27,85.0,0.0,6.24,5.63,5.93,95.67,97.91,1.43
NSW1,2024-06-01 07:00:00,7484.89,141.8,0.0,6.28,5.67,5.98,95.61,97.96,1.37
NSW1,2024-06-01 08:00:00,7937.39,109.88,27.0,6.87,5.67,6.27,91.83,97.99,1.71
NSW1,2024-06-01 09:00:00,8287.47,105.0,132.02,9.2,5.77,7.49,78.91,98.0,2.84
NSW1,2024-06-01 10:00:00,8499.27,65.71,237.07,12.31,5.58,8.95,63.37,97.99,3.3
NSW1,2024-06-01 11:00:00,8664.48,118.76,375.9,14.93,5.1,10.01,51.68,97.99,3.8
NSW1,2024-06-01 12:00:00,8664.82,103.24,425.7,16.53,4.82,10.68,45.71,97.94,3.65
NSW1,2024-06-01 13:00:00,8881.6,85.0,390.05,17.53,4.71,11.12,42.63,97.85,3.44
NSW1,2024-06-01 14:00:00,9102.64,196.2,354.1,17.9,4.74,11.32,41.69,97.78,3.23
NSW1,2024-06-01 15:00:00,9150.96,119.86,266.92,17.92,4.96,11.44,42.31,97.74,3.05
NSW1,2024-06-01 16:00:00,9302.18,189.08,158.8,17.26,5.43,11.35,45.61,97.75,2.93
NSW1,2024-06-01 17:00:00,10017.7,200.11,39.4,15.3,6.57,10.93,55.93,97.8,2.21
NSW1,2024-06-01 18:00:00,10097.77,239.04,0.0,13.71,6.97,10.34,63.63,97.88,2.92
NSW1,2024-06-01 19:00:00,9780.88,142.59,0.0,13.23,7.44,10.33,67.76,97.96,3.87
NSW1,2024-06-01 20:00:00,9405.3,148.66,0.0,12.34,7.47,9.9,72.08,98.0,3.56
NSW1,2024-06-01 21:00:00,9115.66,157.22,0.0,11.7,7.23,9.46,73.95,98.02,3.15
NSW1,2024-06-01 22:00:00,8691.7,121.92,0.0,11.3,6.91,9.1,74.31,98.02,2.89
NSW1,2024-06-01 23:00:00,8448.65,107.19,0.0,10.97,6.68,8.82,74.74,98.0,2.64
NSW1,2024-06-02 00:00:00,7943.93,101.41,0.0,10.48,6.54,8.51,76.46,97.97,2.53
NSW1,2024-06-02 01:00:00,7622.89,86.7,0.0,9.71,6.33,8.02,79.33,97.97,2.52
NSW1,2024-06-02 02:00:00,7089.89,77.46,0.0,8.79,6.02,7.4,82.61,97.96,2.52
NSW1,2024-06-02 03:00:00,6851.13,92.33,0.0,7.99,5.65,6.82,85.03,97.96,2.7
NSW1,2024-06-02 04:00:00,6741.71,77.22,0.0,7.39,5.29,6.34,86.42,97.92,2.8
