SETTLEMENTDATE,ALLSKY_SFC_SW_DWN,T2M,T2MDEW,T2MWET,RH2M,PS,WS2M
2024/06/01 00:00:00,0.0,7.18,5.16,6.17,86.84,97.85,1.23
2024/06/01 01:00:00,0.0,6.71,5.08,5.9,89.21,97.85,1.31
2024/06/01 02:00:00,0.0,6.33,5.15,5.74,92.06,97.84,1.42
2024/06/01 03:00:00,0.0,6.04,5.34,5.69,95.1,97.84,1.47
2024/06/01 04:00:00,0.0,5.74,5.51,5.62,98.29,97.85,1.48
2024/06/01 05:00:00,0.0,6.24,5.63,5.93,95.67,97.91,1.43
2024/06/01 06:00:00,0.0,6.28,5.67,5.98,95.61,97.96,1.37
2024/06/01 07:00:00,27.0,6.87,5.67,6.27,91.83,97.99,1.71
2024/06/01 08:00:00,132.02,9.2,5.77,7.49,78.91,98.0,2.84
2024/06/01 09:00:00,237.07,12.31,5.58,8.95,63.37,97.99,3.3
2024/06/01 10:00:00,375.9,14.93,5.1,10.01,51.68,97.99,3.8
2024/06/01 11:00:00,425.7,16.53,4.82,10.68,45.71,97.94,3.65
2024/06/01 12:00:00,390.05,17.53,4.71,11.12,42.63,97.85,3.44
2024/06/01 13:00:00,354.1,17.9,4.74,11.32,41.69,97.78,3.23
2024/06/01 14:00:00,266.92,17.92,4.96,11.44,42.31,97.74,3.05
2024/06/01 15:00:00,158.8,17.26,5.43,11.35,45.61,97.75,2.93
2024/06/01 16:00:00,39.4,15.3,6.57,10.93,55.93,97.8,2.21
2024/06/01 17:00:00,0.0,13.71,6.97,10.34,63.63,97.88,2.92
2024/06/01 18:00:00,0.0,13.23,7.44,10.33,67.76,97.96,3.87
2024/06/01 19:00:00,0.0,12.34,7.47,9.9,72.08,98.0,3.56
2024/06/01 20:00:00,0.0,11.7,7.23,9.46,73.95,98.02,3.15
2024/06/01 21:00:00,0.0,11.3,6.91,9.1,74.31,98.02,2.89
2024/06/01 22:00:00,0.0,10.97,6.68,8.82,74.74,98.0,2.64
2024/06/01 23:00:00,0.0,10.48,6.54,8.51,76.46,97.97,2.53
2024/06/02 00:00:00,0.0,9.71,6.33,8.02,79.33,97.97,2.52
2024/06/02 01:00:00,0.0,8.79,6.02,7.4,82.61,97.96,2.52
2024/06/02 02:00:00,0.0,7.99,5.65,6.82,85.03,97.96,2.7
2024/06/02 03:00:00,0.0,7.39,5.29,6.34,86.42,97.92,2.8
2024/06/02 04:00:00,0.0,7.17,4.93,6.05,85.55,97.88,2.75
2024/06/02 05:00:00,0.0,6.69,4.65,5.67,86.65,97.87,2.08
2024/06/02 06:00:00,0.0,6.35,4.41,5.38,87.26,97.9,1.75
2024/06/02 07:00:00,29.42,6.5,4.19,5.35,85.09,97.93,1.91
2024/06/02 08:00:00,174.2,7.89,3.91,5.9,75.75,97.93,2.56
2024/06/02 09:00:00,317.02,9.76,3.4,6.58,64.42,97.94,3.1
2024/06/02 10:00:00,435.42,11.58,2.98,7.28,55.45,97.92,3.17
2024/06/02 11:00:00,511.05,13.09,2.63,7.86,48.93,97.86,2.9
