REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
NSW1,2024-06-01 01:00:00,7524.52,165.12,TRADE
NSW1,2024-06-01 02:00:00,7009.12,105.0,TRADE
NSW1,2024-06-01 03:00:00,6719.49,85.97,TRADE
NSW1,2024-06-01 04:00:00,6637.37,66.11,TRADE
NSW1,2024-06-01 05:00:00,6795.7,85.97,TRADE
NSW1,2024-06-01 06:00:00,6923.27,85.0,TRADE
NSW1,2024-06-01 07:00:00,7484.89,141.8,TRADE
NSW1,2024-06-01 08:00:00,7937.39,109.88,TRADE
NSW1,2024-06-01 09:00:00,8287.47,105.0,TRADE
NSW1,2024-06-01 10:00:00,8499.27,65.71,TRADE
NSW1,2024-06-01 11:00:00,8664.48,118.76,TRADE
NSW1,2024-06-01 12:00:00,8664.82,103.24,TRADE
NSW1,2024-06-01 13:00:00,8881.6,85.0,TRADE
NSW1,2024-06-01 14:00:00,9102.64,196.2,TRADE
NSW1,2024-06-01 15:00:00,9150.96,119.86,TRADE
NSW1,2024-06-01 16:00:00,9302.18,189.08,TRADE
NSW1,2024-06-01 17:00:00,10017.7,200.11,TRADE
NSW1,2024-06-01 18:00:00,10097.77,239.04,TRADE
NSW1,2024-06-01 19:00:00,9780.88,142.59,TRADE
NSW1,2024-06-01 20:00:00,9405.3,148.66,TRADE
NSW1,2024-06-01 21:00:00,9115.66,157.22,TRADE
NSW1,2024-06-01 22:00:00,8691.7,121.92,TRADE
NSW1,2024-06-01 23:00:00,8448.65,107.19,TRADE
NSW1,2024-06-02 00:00:00,7943.93,101.41,TRADE
NSW1,2024-06-02 01:00:00,7622.89,86.7,TRADE
NSW1,2024-06-02 02:00:00,7089.89,77.46,TRADE
NSW1,2024-06-02 03:00:00,6851.13,92.33,TRADE
NSW1,2024-06-02 04:00:00,6741.71,77.22,TRADE
NSW1,2024-06-02 05:00:00,6696.66,76.72,TRADE
NSW1,2024-06-02 06:00:00,6964.12,76.72,TRADE
NSW1,2024-06-02 07:00:00,7484.9,112.43,TRADE
NSW1,2024-06-02 08:00:00,7721.52,44.4,TRADE
NSW1,2024-06-02 09:00:00,7540.88,39.0,TRADE
NSW1,2024-06-02 10:00:00,6992.07,53.98,TRADE
NSW1,2024-06-02 11:00:00,6646.31,23.45,TRADE
NSW1,2024-06-02 12:00:00,7027.3,58.0,TRADE
NSW1,2024-06-02 13:00:00,7288.47,58.0,TRADE
NSW1,2024-06-02 14:00:00,7633.07,113.81,TRADE
NSW1,2024-06-02 15:00:00,7756.44,85.24,TRADE
NSW1,2024-06-02 16:00:00,8698.16,296.13,TRADE
NSW1,2024-06-02 17:00:00,9697.38,299.98,TRADE
NSW1,2024-06-02 18:00:00,10222.9,283.18,TRADE
NSW1,2024-06-02 19:00:00,9995.18,232.89,TRADE
NSW1,2024-06-02 20:00:00,9659.3,148.17,TRADE
NSW1,2024-06-02 21:00:00,9255.3,125.37,TRADE
NSW1,2024-06-02 22:00:00,8618.36,85.97,TRADE
NSW1,2024-06-02 23:00:00,8189.62,105.74,TRADE
NSW1,2024-06-03 00:00:00,7777.69,105.74,TRADE
NSW1,2024-06-03 01:00:00,7397.3,85.0,TRADE
NSW1,2024-06-03 02:00:00,6964.73,78.0,TRADE
NSW1,2024-06-03 03:00:00,6745.26,78.0,TRADE
NSW1,2024-06-03 04:00:00,6820.35,78.0,TRADE
NSW1,2024-06-03 05:00:00,7023.78,85.0,TRADE
NSW1,2024-06-03 06:00:00,7880.47,135.28,TRADE
NSW1,2024-06-03 07:00:00,9283.9,257.71,TRADE
NSW1,2024-06-03 08:00:00,9523.61,58.26,TRADE
NSW1,2024-06-03 09:00:00,8555.97,49.76,TRADE
NSW1,2024-06-03 10:00:00,7934.72,56.67,TRADE
NSW1,2024-06-03 11:00:00,7117.87,58.0,TRADE
NSW1,2024-06-03 12:00:00,7018.31,146.2,TRADE
NSW1,2024-06-03 13:00:00,7323.62,76.72,TRADE
NSW1,2024-06-03 14:00:00,7196.98,-30.12,TRADE
NSW1,2024-06-03 15:00:00,7822.8,54.0,TRADE
NSW1,2024-06-03 16:00:00,8884.33,110.43,TRADE
NSW1,2024-06-03 17:00:00,10237.82,293.39,TRADE
NSW1,2024-06-03 18:00:00,11388.17,299.98,TRADE
NSW1,2024-06-03 19:00:00,10966.77,190.29,TRADE
NSW1,2024-06-03 20:00:00,10606.32,181.76,TRADE
NSW1,2024-06-03 21:00:00,9982.47,143.46,TRADE
NSW1,2024-06-03 22:00:00,9221.77,120.71,TRADE
NSW1,2024-06-03 23:00:00,8721.93,129.3,TRADE
NSW1,2024-06-04 00:00:00,8387.64,80.18,TRADE
NSW1,2024-06-04 01:00:00,7975.22,85.0,TRADE
NSW1,2024-06-04 02:00:00,7467.94,81.29,TRADE
NSW1,2024-06-04 03:00:00,7102.95,78.0,TRADE
NSW1,2024-06-04 04:00:00,7069.7,76.72,TRADE
NSW1,2024-06-04 05:00:00,7362.64,127.18,TRADE
NSW1,2024-06-04 06:00:00,8320.61,240.12,TRADE
NSW1,2024-06-04 07:00:00,9928.77,183.19,TRADE
NSW1,2024-06-04 08:00:00,10176.81,220.5,TRADE
NSW1,2024-06-04 09:00:00,9157.45,66.3,TRADE
NSW1,2024-06-04 10:00:00,8224.82,56.99,TRADE
NSW1,2024-06-04 11:00:00,7512.74,58.0,TRADE
NSW1,2024-06-04 12:00:00,7526.55,76.72,TRADE
NSW1,2024-06-04 13:00:00,7575.21,62.04,TRADE
NSW1,2024-06-04 14:00:00,7640.47,277.24,TRADE
NSW1,2024-06-04 15:00:00,8357.91,76.72,TRADE
NSW1,2024-06-04 16:00:00,9388.92,288.55,TRADE
NSW1,2024-06-04 17:00:00,10635.63,319.45,TRADE
NSW1,2024-06-04 18:00:00,11331.82,299.99,TRADE
NSW1,2024-06-04 19:00:00,11162.77,291.52,TRADE
NSW1,2024-06-04 20:00:00,10594.73,258.51,TRADE
NSW1,2024-06-04 21:00:00,10078.39,146.6,TRADE
NSW1,2024-06-04 22:00:00,9191.38,139.0,TRADE
NSW1,2024-06-04 23:00:00,8688.47,228.81,TRADE
NSW1,2024-06-05 00:00:00,8305.26,159.39,TRADE
NSW1,2024-06-05 01:00:00,7991.61,150.0,TRADE
NSW1,2024-06-05 02:00:00,7441.39,101.9,TRADE
NSW1,2024-06-05 03:00:00,7139.64,101.9,TRADE
NSW1,2024-06-05 04:00:00,7030.13,111.85,TRADE
NSW1,2024-06-05 05:00:00,7349.51,139.0,TRADE
NSW1,2024-06-05 06:00:00,8229.06,214.86,TRADE
NSW1,2024-06-05 07:00:00,9584.39,299.98,TRADE
NSW1,2024-06-05 08:00:00,9981.22,181.0,TRADE
NSW1,2024-06-05 09:00:00,9539.9,205.66,TRADE
NSW1,2024-06-05 10:00:00,8885.77,109.15,TRADE
NSW1,2024-06-05 11:00:00,8516.8,166.35,TRADE
NSW1,2024-06-05 12:00:00,7692.7,119.91,TRADE
NSW1,2024-06-05 13:00:00,8109.18,146.74,TRADE
NSW1,2024-06-05 14:00:00,8621.72,160.17,TRADE
